,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
799,Jason Aldean,Blame It On You,2CwG4BXIlGmmYLDmDvwMTH,61,0.484,0.783,2,-5.334,1,0.0308,0.0957,0.000118,0.107,0.594,137.918,215360,4
800,The Lumineers,Gloria,5BkGp7FLUUpKgWl29jBK0J,61,0.523,0.714,11,-6.021,1,0.0367,0.658,5.2e-06,0.0785,0.659,78.211,216120,4
801,Josh Groban,Believe,13oqB9j9kfE9Zddota4NIf,62,0.186,0.423,4,-7.566,1,0.0321,0.626,0.0,0.0666,0.202,78.831,258400,4
802,Freddie Dredd,Weather,4fvneyc3bVlvzUuvKU6MpM,65,0.752,0.87,1,-4.267,0,0.182,0.0229,2.28e-06,0.0996,0.761,160.128,111282,4
803,King Von,Fuck Yo Man,0clRkzOXPz2vhS19836t9i,62,0.872,0.595,5,-7.85,1,0.228,0.41,0.0,0.109,0.589,136.897,180000,4
804,meynus,"i don't like it, you're not the same",6OXJL2HaygePLxP2ICvVh0,68,0.533,0.168,11,-13.329,0,0.0472,0.422,0.39,0.135,0.074,114.757,97686,4
805,Tom Hanks,The Polar Express,2cxqB2Hx4gT5NH0pnxaVvw,62,0.67,0.879,10,-6.37,0,0.109,0.354,0.0,0.0988,0.518,145.2,203227,4
806,Lil Nas X,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,64,0.717,0.598,5,-5.613,0,0.0809,0.22,0.0,0.122,0.496,153.905,151040,4
807,Hot Shade,Dive,2aXC0fD6qziwlOZZqhCqTd,74,0.654,0.787,4,-4.999,1,0.0502,0.00515,0.0,0.144,0.409,123.979,164490,4
808,Luis R Conriquez,De Aqui Paya,6U5rCJ8xJmZxNe3fbg1X7Q,68,0.85,0.61,0,-9.044,1,0.0371,0.307,0.0,0.102,0.902,109.931,178561,3
809,Snoh Aalegra,Whoa,38EhHqsV5NX9JrC2D2qXNI,64,0.509,0.514,10,-11.283,1,0.123,0.121,0.00144,0.104,0.476,188.019,199179,4
810,Hoodie Allen,Come Around,2zkhW5YaOPPaPgNWXmjTjF,63,0.726,0.727,9,-4.919,1,0.0969,0.363,0.0,0.231,0.815,77.543,166696,4
811,BTS,Mikrokosmos,0jSccBRnhNU4KtACMQPvco,73,0.579,0.858,8,-5.212,1,0.114,0.125,0.0,0.0502,0.475,174.043,224225,3
812,Denzel Curry,RICKY,2QbGvQssb0VLLS4x5NOmyJ,64,0.776,0.562,9,-6.901,1,0.363,0.0399,0.0,0.138,0.521,169.03,147867,4
813,FINNEAS,I Lost a Friend,5v1sPD1lu2wiPzi07tW8zm,67,0.453,0.208,11,-11.917,1,0.22,0.585,0.0,0.119,0.218,169.326,237020,4
814,Colt Ford,Slow Ride,6OEX8FPaHyUyftZJWsve3Y,62,0.671,0.771,11,-4.732,0,0.0463,0.00284,0.0,0.187,0.639,142.01,174635,4
815,Cartel De Santa,Burbujas de Cristal,15yuvKhcoEtV5KwKxqHSwa,74,0.783,0.75,1,-4.891,1,0.106,0.218,0.0,0.546,0.48,123.043,224625,4
816,XXXTENTACION,hate will never win,3TzgIJC8U7o57nx8xnWvnt,66,0.556,0.425,10,-6.964,0,0.314,0.811,1.97e-06,0.127,0.676,89.385,103987,4
817,MAMAMOO,HIP,24nK8tW7Pt3Inh2utttuoG,71,0.782,0.731,3,-4.581,0,0.143,0.0376,3.15e-05,0.0956,0.824,138.032,195307,4
